Full Domain,Domain Name,TLD,Confidence Level,Verification Method
uber.shop,uber,.shop,MEDIUM,WHOIS + DNS + HTTP
foodify.store,foodify,.store,MEDIUM,WHOIS + DNS + HTTP
travelgen.org,travelgen,.org,HIGH,WHOIS + DNS + HTTP
travelgen.shop,travelgen,.shop,MEDIUM,WHOIS + DNS + HTTP
travelgen.store,travelgen,.store,MEDIUM,WHOIS + DNS + HTTP
mediabox.shop,mediabox,.shop,MEDIUM,WHOIS + DNS + HTTP
shopifyx.net,shopifyx,.net,HIGH,WHOIS + DNS + HTTP
shopifyx.org,shopifyx,.org,HIGH,WHOIS + DNS + HTTP
dreamsync.shop,dreamsync,.shop,MEDIUM,WHOIS + DNS + HTTP
bluzen.net,bluzen,.net,HIGH,WHOIS + DNS + HTTP
bluzen.shop,bluzen,.shop,MEDIUM,WHOIS + DNS + HTTP
vibraze.net,vibraze,.net,HIGH,WHOIS + DNS + HTTP
vibraze.org,vibraze,.org,HIGH,WHOIS + DNS + HTTP
vibraze.shop,vibraze,.shop,MEDIUM,WHOIS + DNS + HTTP
solith.net,solith,.net,HIGH,WHOIS + DNS + HTTP
solith.org,solith,.org,HIGH,WHOIS + DNS + HTTP
solith.shop,solith,.shop,MEDIUM,WHOIS + DNS + HTTP
aeronix.shop,aeronix,.shop,MEDIUM,WHOIS + DNS + HTTP
zenquill.net,zenquill,.net,HIGH,WHOIS + DNS + HTTP
zenquill.org,zenquill,.org,HIGH,WHOIS + DNS + HTTP
zenquill.shop,zenquill,.shop,MEDIUM,WHOIS + DNS + HTTP
zenquill.store,zenquill,.store,MEDIUM,WHOIS + DNS + HTTP
flarion.store,flarion,.store,MEDIUM,WHOIS + DNS + HTTP
trumigo.net,trumigo,.net,HIGH,WHOIS + DNS + HTTP
trumigo.org,trumigo,.org,HIGH,WHOIS + DNS + HTTP
trumigo.shop,trumigo,.shop,MEDIUM,WHOIS + DNS + HTTP
trumigo.store,trumigo,.store,MEDIUM,WHOIS + DNS + HTTP
